station,longitude,latitude
EFKK,23.1431,63.7212
EFSA,28.9451,61.9431
EFRO,25.8321,66.5584
EFHF,25.0428,60.2546
EFHA,24.7866,61.8561
EFKS,29.1833,65.9667
EFVR,27.8686,62.1711
EFSI,22.8323,62.6921
EFKA,23.0333,63.1
EFOU,25.3546,64.9301
EFKI,27.6753,64.2815
EFLP,28.1444,61.0446
EFYL,24.7333 |64.05
EFTU,22.2628,60.5141
EFKE,24.5821,65.7787
EFJO,29.6333,62.6667
EFUT,26.9383,60.8964
EFET,23.4243,68.3626
EFVA,21.7622,63.0506
EFTP,23.58,61.42
EFMI,27.3,61.7333
EFKU,27.7992,63.008
EFKT,24.8468,67.701
EFPO,21.8,61.4617
EFMA,19.8982,60.1222
EFIV,27.4053,68.6073
EFJY,25.6752,62.4044
EFHK,24.9633,60.3172
